Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date
KJ501491,West Nile virus,GenBank,set:KJ501491,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6508/2002,Orthoflavivirus nilense,11019,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2002
KJ501492,West Nile virus,GenBank,set:KJ501492,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6512/2005,Orthoflavivirus nilense,10973,complete,USA,USA,,Pelecanus erythrorhynchos,"kidney, spleen, abdominal cavity",2005
KJ501493,West Nile virus,GenBank,set:KJ501493,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6526/2001,Orthoflavivirus nilense,10978,complete,USA,USA,,Mimus,"kidney, spleen, abdominal cavity",2001
KJ501494,West Nile virus,GenBank,set:KJ501494,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6528/2001,Orthoflavivirus nilense,10979,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2001
KJ501495,West Nile virus,GenBank,set:KJ501495,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6530/2002,Orthoflavivirus nilense,10989,complete,USA,USA,,Cyanocitta cristata,"kidney, spleen, abdominal cavity",2002
KJ501496,West Nile virus,GenBank,set:KJ501496,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6531/2001,Orthoflavivirus nilense,11026,complete,USA,USA,,Cyanocitta cristata,"kidney, spleen, abdominal cavity",2001
KJ501497,West Nile virus,GenBank,set:KJ501497,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6532/2001,Orthoflavivirus nilense,10985,complete,USA,USA,,Accipitridae,"kidney, spleen, abdominal cavity",2001
KJ501498,West Nile virus,GenBank,set:KJ501498,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6534/2003,Orthoflavivirus nilense,10980,complete,USA,USA,,Passer domesticus,"kidney, spleen, abdominal cavity",2003
KJ501499,West Nile virus,GenBank,set:KJ501499,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6535/2003,Orthoflavivirus nilense,10980,complete,USA,USA,,Falco sparverius,"kidney, spleen, abdominal cavity",2003
KJ501500,West Nile virus,GenBank,set:KJ501500,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6536/2009,Orthoflavivirus nilense,10977,complete,USA,USA,,Larus smithsonianus,brain,2009
KJ501501,West Nile virus,GenBank,set:KJ501501,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6538/2002,Orthoflavivirus nilense,11000,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2002
KJ501502,West Nile virus,GenBank,set:KJ501502,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6542/2002,Orthoflavivirus nilense,11033,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2002
KJ501503,West Nile virus,GenBank,set:KJ501503,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6545/2002,Orthoflavivirus nilense,10985,complete,USA,USA,,Turdus migratorius,"kidney, spleen, abdominal cavity",2002
KJ501504,West Nile virus,GenBank,set:KJ501504,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6548/2003,Orthoflavivirus nilense,10978,complete,USA,USA,,Branta canadensis,feather,2003
KJ501505,West Nile virus,GenBank,set:KJ501505,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6550/2002,Orthoflavivirus nilense,10953,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2002
KJ501506,West Nile virus,GenBank,set:KJ501506,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6553/2003,Orthoflavivirus nilense,10974,complete,USA,USA,,Corvus brachyrhynchos,feather,2003
KJ501507,West Nile virus,GenBank,set:KJ501507,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6556/2001,Orthoflavivirus nilense,10978,complete,USA,USA,,Pelecanus erythrorhynchos,"kidney, spleen, abdominal cavity",2001
KJ501508,West Nile virus,GenBank,set:KJ501508,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6560/2003,Orthoflavivirus nilense,10985,complete,USA,USA,,Zenaida macroura,feather,2003
KJ501509,West Nile virus,GenBank,set:KJ501509,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6575/2001,Orthoflavivirus nilense,10978,complete,USA,USA,,Euphagus cyanocephalus,"kidney, spleen, abdominal cavity",2001
KJ501510,West Nile virus,GenBank,set:KJ501510,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6612/2002,Orthoflavivirus nilense,11029,complete,USA,USA,,Cyanocitta cristata,"kidney, spleen, abdominal cavity",2002
KJ501511,West Nile virus,GenBank,set:KJ501511,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6613/2002,Orthoflavivirus nilense,11029,complete,USA,USA,,Cyanocitta cristata,"kidney, spleen, abdominal cavity",2002
KJ501512,West Nile virus,GenBank,set:KJ501512,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6616/2001,Orthoflavivirus nilense,10998,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2001
KJ501514,West Nile virus,GenBank,set:KJ501514,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6619/2002,Orthoflavivirus nilense,10979,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2002
KJ501515,West Nile virus,GenBank,set:KJ501515,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6620/2001,Orthoflavivirus nilense,10979,complete,USA,USA,,Buteo jamaicensis,"kidney, spleen, abdominal cavity",2001
KJ501516,West Nile virus,GenBank,set:KJ501516,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6625/2001,Orthoflavivirus nilense,11029,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2001
KJ501517,West Nile virus,GenBank,set:KJ501517,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6626/2002,Orthoflavivirus nilense,10979,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2002
KJ501518,West Nile virus,GenBank,set:KJ501518,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6640/2007,Orthoflavivirus nilense,10994,complete,USA,USA,,Pelecanus erythrorhynchos,feather,2007
KJ501519,West Nile virus,GenBank,set:KJ501519,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6652/2002,Orthoflavivirus nilense,10973,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2002
KJ501520,West Nile virus,GenBank,set:KJ501520,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6661/2004,Orthoflavivirus nilense,10983,complete,USA,USA,,Pelecanus erythrorhynchos,"kidney, spleen, abdominal cavity",2004
KJ501521,West Nile virus,GenBank,set:KJ501521,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6672/2006,Orthoflavivirus nilense,10976,complete,USA,USA,,Pelecanus erythrorhynchos,brain,2006
KJ501522,West Nile virus,GenBank,set:KJ501522,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6676/2004,Orthoflavivirus nilense,10976,complete,USA,USA,,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity",2004
KJ501523,West Nile virus,GenBank,set:KJ501523,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6680/2006,Orthoflavivirus nilense,10971,complete,USA,USA,,Sternula antillarum,"kidney, spleen, abdominal cavity",2006
KJ501524,West Nile virus,GenBank,set:KJ501524,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6682/2006,Orthoflavivirus nilense,10979,complete,USA,USA,,Actitis macularius,feather,2006
KJ501525,West Nile virus,GenBank,set:KJ501525,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6689/2004,Orthoflavivirus nilense,11029,complete,USA,USA,,Pelecanus erythrorhynchos,feather,2004
KJ501526,West Nile virus,GenBank,set:KJ501526,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6692/2006,Orthoflavivirus nilense,10958,complete,USA,USA,,Sternula antillarum,"brain, kidney, spleen, abdominal cavity",2006
KJ501527,West Nile virus,GenBank,set:KJ501527,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6696/2003,Orthoflavivirus nilense,10988,complete,USA,USA,,Corvus brachyrhynchos,feather,2003
KJ501529,West Nile virus,GenBank,set:KJ501529,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V6701/2006,Orthoflavivirus nilense,11029,complete,USA,USA,,Pelecanus erythrorhynchos,feather,2006
KJ501530,West Nile virus,GenBank,set:KJ501530,"Newman,R.M., Zody,M.C., Ip,H., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7281/2012,Orthoflavivirus nilense,10979,complete,USA,USA,,Branta canadensis,feather,2012
KJ501531,West Nile virus,GenBank,set:KJ501531,"Newman,R.M., Zody,M.C., Henn,M., Kramer,L., Ciota,A., Young,D., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7815/2012,Orthoflavivirus nilense,10623,complete,USA,USA,,Culicidae,pooled insects,2012
KJ501532,West Nile virus,GenBank,set:KJ501532,"Newman,R.M., Zody,M.C., Henn,M., Kramer,L., Ciota,A., Young,D., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7816/2012,Orthoflavivirus nilense,10622,complete,USA,USA,,Culicidae,pooled insects,2012
KJ501533,West Nile virus,GenBank,set:KJ501533,"Newman,R.M., Zody,M.C., Henn,M., Kramer,L., Ciota,A., Young,D., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7817/2012,Orthoflavivirus nilense,10609,complete,USA,USA,,Culicidae,pooled insects,2012
KJ501534,West Nile virus,GenBank,set:KJ501534,"Newman,R.M., Zody,M.C., Henn,M., Kramer,L., Ciota,A., Young,D., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7818/2011,Orthoflavivirus nilense,10623,complete,USA,USA,,Culicidae,pooled insects,2011
KJ501535,West Nile virus,GenBank,set:KJ501535,"Newman,R.M., Zody,M.C., Henn,M., Kramer,L., Ciota,A., Young,D., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7819/2011,Orthoflavivirus nilense,10464,complete,USA,USA,,Culicidae,pooled insects,2011
KJ501536,West Nile virus,GenBank,set:KJ501536,"Newman,R.M., Zody,M.C., Henn,M., Kramer,L., Ciota,A., Young,D., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7820/2011,Orthoflavivirus nilense,10623,complete,USA,USA,,Culicidae,pooled insects,2011
KJ501537,West Nile virus,GenBank,set:KJ501537,"Newman,R.M., Zody,M.C., Henn,M., Kramer,L., Ciota,A., Young,D., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7821/2011,Orthoflavivirus nilense,10621,complete,USA,USA,,Culicidae,pooled insects,2011
KJ501538,West Nile virus,GenBank,set:KJ501538,"Newman,R.M., Zody,M.C., Henn,M., Kramer,L., Ciota,A., Young,D., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7822/2011,Orthoflavivirus nilense,10627,complete,USA,USA,,Culicidae,pooled insects,2011
KJ501539,West Nile virus,GenBank,set:KJ501539,"Newman,R.M., Zody,M.C., Henn,M., Kramer,L., Ciota,A., Young,D., Poon,T.W., Charlebois,P., Weiner,B., Yang,X., Piper,M.E., Fitzgerald,M., McCowan,C., Young,S., Gargeya,S., Levin,J., Malboeuf,C., Qu,J., Ireland,A., Chapman,S.B., Murphy,C., Wortman,J., Nusbaum,C., Birren,B.",Broad Institute of MIT & Harvard,USA,6/30/14,WNV-1/US/BID-V7823/2011,Orthoflavivirus nilense,10624,complete,USA,USA,,Culicidae,pooled insects,2011
KF367469,West Nile virus,GenBank,set:KF367469,"Anthony,S.J., Garner,M.M., Palminteri,L., Navarrete-Macias,I., Sanchez-Leon,M.D., Briese,T., Daszak,P., Lipkin,W.I.","Columbia University, Center for Infection and Immunity",USA,5/19/14,BVI2013_Heart,Orthoflavivirus nilense,10763,complete,British Virgin Islands: Necker Island,British Virgin Islands,,Phoenicopterus roseus,heart,3/30/13
KC496015,West Nile virus,GenBank,set:KC496015,"Bakonyi,T., Petric,D., Szentpali-Gavaller,K., Barna,M., Bercic,R.L., Petrovic,T., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2/17/14,,Orthoflavivirus nilense,11028,complete,Hungary,Hungary,,Equus caballus,,2010
KC496016,West Nile virus,GenBank,set:KC496016,"Bakonyi,T., Petric,D., Szentpali-Gavaller,K., Barna,M., Bercic,R.L., Petrovic,T., Nowotny,N.","Institute of Virology, University of Veterinary Medicine Vienna, Viral Zoonoses, Emerging and Vector-Borne Infections Group",Austria,2/17/14,,Orthoflavivirus nilense,11028,complete,Serbia,Serbia,,Culex pipiens,,2010
